NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA
Downtown Brooklyn,Brooklyn,2062,"1, 24, 18, 19, 21, 17",Yes,45532,62500000,23164,338.14,Corner,C6-4,,,,DB,,10,402709,155
Downtown Brooklyn,Brooklyn,167,8,No,45524,3125000,1424,19.96,Interior,C6-4 ,,,,DB,,10,14240,219
Bedford-Stuyvesant,Brooklyn,1737,42,No,45520,4575000,4375,137.5,Corner,R7D,C2-4 ,,,,MIH,5.6,18338,249
Maspeth,Queens,2557,30,No,45520,65000000,40037,398,Corner,M2-1,,,,,,2,42858,420
Cobble Hill,Brooklyn,284,1,No,45520,18000000,33108,230,Interior,R6,,,,,,2.43,140512,463
Bushwick,Brooklyn,3210,"16, 17, 18, 19, 20, 21",Yes,45519,1225000,15000,150,Interior,M1-5/R7D,,,,MX-22,MIH,5.6,84000,83
Pelham Bay,The Bronx,4197,"28, 129",Yes,45519,7000000,3218,123,Corner,R7-1,,,,,,4,12872,95
Hunts Point,The Bronx,2771,219,No,45519,3500000,14300,243,Corner,M3-1,,,,,,2,28600,122
Bronxdale,The Bronx,4286,40,No,45516,7905000,12678,201.63,Corner,C4-4,,,,,,4,102106,77
East New York,Brooklyn,4167,25,No,45511,4250000,11390,243.92,Corner,R7A,C2-4,,,,MIH,4.6,52394,81
Chelsea,Manhattan,767,67,No,45509,10500000,4650,49.98,Interior,C6-2A,,,,,,6.02,35679,294
Prospect Lefferts Gardens,Brooklyn,5057,76,No,45506,10500000,23500,192.58,Interior,R6,,,,,,2.2,51700,203
Prospect Heights,Brooklyn,1153,"5, 19",Yes,45506,11650000,18318,110.83,Interior,R6B,,,,,,2,36636,318
Williamsburg,Brooklyn,3102,17,No,45505,4200000,5000,50,Interior,M1-2,,,,,,2,10000,130
Williamsburg,Brooklyn,2736,14,No,45505,1300000,4688,45,Interior,M1-2/R6B,,,,MX-8 ,VIH,2,9384,448
Jamaica,Queens,10044,"5, 6, 3",Yes,45504,174100000,13750,125,Interior,R4-1,,,,,,0.75,11550,148
Greenpoint,Brooklyn,"2567, 2570","1, 36",Yes,45504,4000000,356520,1315,Interior,R6 ,R8,C2-4 ,,,VIH,5.40/2.20,1040344,167
Gowanus,Brooklyn,465,112,No,45504,1705000,7400,80,Through,M1-4,,,,G,,2,14800,270
Downtown Flushing,Queens,4950,25,No,45504,1300000,3000,24,Interior,M1-1,,,,,,1,3000,433
East Village,Manhattan,382,22,No,45503,15800000,60505,792.5,Corner,R7-2,,,,,,4.00/3.44,219701,105
Inwood,Manhattan,2201,21,No,45503,23000000,19983,399.83,Corner,R8A ,C2-4,,,IN ,MIH,7.2,143878,110
Canarsie,Brooklyn,8214,45,No,45502,1230000,9000,190,Corner,R5B,,,,,,1.35,12150,101
Williamsburg,Brooklyn,2779,6,No,45502,5010000,5150,50,Interior,R6B ,,,,,VIH,2,10300,486
Port Morris,The Bronx,2261,3,No,45498,3200000,10000,200,Corner,M1-2/R6A,,,,MX-1,,3,30000,107
Morrisania,The Bronx,2388,"59, 61",Yes,45491,9550000,19253,73.12,Interior,M1-1/R7-2 ,M1-1,,,MX-7,,3.44,66230,51
Morrisania,The Bronx,2388,"69, 68, 67, 64, 71",Yes,45491,3345000,20061,314.91,Corner,M1-1/R7-2,,,,MX-7,,3.44/1.00,117204,81
Williamsburg,Brooklyn,3102,"7, 6, 9, 8",Yes,45490,3750000,10000,200,Corner,M1-2,,,,,,2,20000,188
Financial District,Manhattan,53,37,No,45488,15250000,4664,49.92,Interior,C6-9,,,,LM,,15,69960,218
Yorkville,Manhattan,1529,"8, 7",Yes,45484,11750000,7236,70.83,Interior,R8B,,,,,,4,28944,406
Washington Heights,Manhattan,2170,383,No,45482,8000000,13000,260,Interior,R7-2,,,,,,3.44,44720,179
Clinton Hill,Brooklyn,1893,57,No,45482,2788425,2500,25,Interior,R7A,C2-4,,,,VIH,3.45,11103,251
Bedford-Stuyvesant,Brooklyn,1898,"37, 38",Yes,45481,4825000,3256,39.58,Interior,M1-4/R6A,,,,MX-4,MIH,3.6,9703,497
Morrisania,The Bronx,2663,"28, 27",Yes,45478,2200000,6500,52,Interior,R6,C1-4,,,,,3.00/2.20,23937,92
Harlem,Manhattan,1929,23,No,45476,1875000,2523,25,Interior,R7A,,,,,,4,9971,188
Williamsburg,Brooklyn,2455,34,No,45476,5000000,3591,124,Corner,C4-3,,,,,,3.4,14006,357
Tremont,The Bronx,2923,"31, 35, 135",Yes,45474,7500000,14148,135.91,Interior,M1-4/R7X ,,,,MX-14,VIH,3.75,53055,141
Red Hook,Brooklyn,556,"23, 22",Yes,45471,2800000,4000,40,Interior,R5,,,,,,1.25,4891,215
Red Hook,Brooklyn,545,"24,27, 25, 26",Yes,45471,1050000,6706,102.75,Corner,R5 ,C1-3,,,,,1.25,8383,334
